Index,Title,Website,Date,Link
1,NaN,NaN,1920,/wiki/ISBN_(identifier)
2,"""Art and Politics: A Staff from the Court of Benin, West Africa""",Metropolitan Museum Journal,1978,/wiki/Doi_(identifier)
3,NaN,NaN,1992,https://archive.org/details/royalartofbeninp0000ezra
4,NaN,NaN,1993,https://archive.org/details/makingmummiesdan00thom
5,NaN,NaN,1994,/wiki/ISBN_(identifier)
6,"""Africa, Oceania, and the Americas""",The Metropolitan Museum of Art Bulletin,1995,/wiki/Doi_(identifier)
7,NaN,NaN,1995,NaN
8,NaN,NaN,1996,/wiki/ISBN_(identifier)
9,NaN,NaN,1996,/wiki/ISBN_(identifier)
10,NaN,NaN,1997,/wiki/Philippe_de_Montebello
11,NaN,NaN,2003,/wiki/ISBN_(identifier)
12,NaN,NaN,2005,https://archive.org/details/cloistersmedieva00barn/page/57
13,"""Dress Sense""",The Atlantic,2007,/wiki/The_Atlantic
14,NaN,NaN,2007,NaN
15,NaN,NaN,2008,/wiki/ISBN_(identifier)
16,NaN,NaN,2009,https://archive.org/details/roguesgallerysec00gros/page/45
17,NaN,NaN,2009,NaN
18,NaN,NaN,2009,/wiki/Anna_Quindlen
19,NaN,NaN,2009,/wiki/ISBN_(identifier)
20,"""Collector/Collected. Primitive Art, Passionate Discourse, and the Imaginary Crossing of Boundaries""",Anthropos,2012,/wiki/Doi_(identifier)
21,NaN,NaN,2012,/wiki/ISBN_(identifier)
22,NaN,NaN,2016,/wiki/ISBN_(identifier)
23,NaN,NaN,2018,/wiki/ISBN_(identifier)
24,"""Leonard Lauder Donates $1 Billion Art Collection To Met""",British Vogue,"April 10, 2013",https://www.vogue.co.uk/article/leonard-lauder-donates-1-billion-art-collection-to-the-met-museum
25,"""Metropolitan Museum of Art Names Fine Arts Museums of San Francisco's Max Hollein Director""",ARTNews,"April 10, 2018",http://www.artnews.com/2018/04/10/fine-arts-museums-san-franciscos-max-hollein-named-director-metropolitan-museum-art/
26,"""Eastman Johnson – Co-founder of the Metropolitan Museum of Art""",Archived from the original on April ,"April 13, 2015",http://www.tuttartpitturasculturapoesiamusica.com/2013/05/Eastman-Johnson.html
27,"""The Cloisters Museum and Gardens""",The Metropolitan Museum of Art,"April 15, 2012",http://www.metmuseum.org/about-the-museum/history-of-the-museum/the-cloisters-museum-and-gardens
28,"""Asian Art | the Metropolitan Museum of Art""",Archived from the original on April ,"April 16, 2017",http://www.metmuseum.org/about-the-met/curatorial-departments/asian-art
29,"""With Rumors, Scandal, and a Record Budget Shortfall, What Broke the Met?""",Vulture,"April 16, 2017",https://www.vulture.com/2017/04/what-broke-the-met-museum.html
30,NaN,NaN,"April 17, 2017",NaN
31,"""A Hushed Departure at the Met Museum Reveals Entrenched Management Culture""",The New York Times,"April 2, 2017",https://www.nytimes.com/2017/04/02/arts/design/met-museum-campbell-resignation-brodsky-coburn.html
32,"""The Costume Institute | The Metropolitan Museum of Art""",www.metmuseum.org,"April 2, 2019",https://www.metmuseum.org/about-the-met/curatorial-departments/the-costume-institute
33,"""Classical Treasures, Bathed in a New Light""",The New York Times,"April 20, 2007",https://www.nytimes.com/2007/04/20/arts/design/20anci.html?ex=1334721600&en=d719d4e4c2744f72&ei=5090&partner=rssuserland&emc=rss
34,"""A Look at the Met Breuer Before the Doors Open""", Archived April ,"April 22, 2016",https://www.nytimes.com/2016/03/02/arts/design/a-look-at-the-met-breuer-before-the-doors-open.html
35,"""Visit to the Met Could Cost You, if You Don't Live in New York""",The New York Times,"April 26, 2017",https://www.nytimes.com/2017/04/26/arts/design/met-museum-in-quiet-talks-with-city-weighs-an-admission-fee.html
36,"""Visit to the Met Could Cost You, if You Don't Live in New York""",The New York Times,"April 26, 2017",https://www.nytimes.com/2017/04/26/arts/design/met-museum-in-quiet-talks-with-city-weighs-an-admission-fee.html
37,"""At the Met, Andrew Bolton Is the Storyteller in Chief""",The New York Times,"April 29, 2015",https://www.nytimes.com/2015/04/30/fashion/mens-style/at-the-met-andrew-bolton-is-the-storyteller-in-chief.html
38,NaN,NaN,"April 3, 2016",http://libmma.org/digital_files/archives/Schools_Records_b18062179.pdf
39,"""1944""",Playbill,"April 8, 2009",https://web.archive.org/web/20090408051558/http://www.playbill.com/news/article/68652.html
40,"""The Metropolitan Museum of Art Announces 2004–2005 Season of Concerts, the 51st Season""", Archived August ,"August 13, 2017",http://www.metmuseum.org/press/news/2004/the-metropolitan-museum-of-art-announces-20042005-season-of-concerts-the-51st-season
41,"""Cambodia Says It's Found Its Lost Artifacts: In Gallery 249 at the Met""",The New York Times,"August 18, 2022",https://www.nytimes.com/2022/08/18/arts/design/met-artifacts-cambodia.html
42,"""The Lost Harriet Douglas Cruger Mansion – No. 128 West 14th Street,""", Daytonian in Manhattan,"August 24, 2015",http://daytoninmanhattan.blogspot.com/2015/08/the-lost-harriet-douglas-cruger-mansion.html
43,"""How Art Collected by a Long-Lost Rockefeller Changed the Met Museum Forever""",Observer,"August 26, 2015",https://observer.com/2015/08/how-art-collected-by-a-long-lost-rockefeller-changed-the-met-museum-forever/
44,"""Max Hollein Consolidates Roles as Met Museum's Chief""",The New York Times,"August 3, 2022",https://www.nytimes.com/2022/08/03/arts/design/max-hollein-met-museum-chief-executive.html
45,"""The Metropolitan Museum of Art Announces Record Attendance""",The New York Times,"August 5, 2016",https://www.nytimes.com/2016/08/05/arts/design/the-metropolitan-museum-of-art-announces-record-attendance.html
46,NaN,NaN,"August 8, 2014",http://libmma.org/digital_files/archives/Trescher_Centennial_records_b18234550.pdf
47,"""At the Museums: Four Eyes""",The New Yorker,"December 1, 2008",https://www.newyorker.com/talk/2008/12/01/081201ta_talk_halford?printable=true
48,"""The Metropolitan Museum of Art – Curatorial Departments""",Archived from the original on December ,"December 1, 2012",http://www.metmuseum.org/en/about-the-museum/museum-departments/curatorial-departments
49,"""The Met begins $70m renovation of African, ancient American and Oceanic art galleries""",The Art Newspaper,"December 14, 2021",https://www.theartnewspaper.com/2021/12/14/metropolitan-museum-african-ancient-american-oceanic-art-galleries
50,"""Collections""",Archived from the original on December ,"December 19, 2014",http://libmma.org/portal/collections/
51,"""Meet the Staff""",www.metmuseum.org,"December 24, 2018",https://www.metmuseum.org/about-the-met/curatorial-departments/the-american-wing/staff-list
52,"""How Did You Build This Museum? And More #MetKids Questions!""",The Met,"December 28, 2016",https://www.metmuseum.org/blogs/metkids/2016/history-of-the-met/
53,"""NHL nomination for Metropolitan Museum of Art""",National Park Service,"December 29, 2017",https://npgallery.nps.gov/NRHP/GetAsset/NHLS/86003556_text
54,"""Visitor Figures""",www.theartnewspaper.com,"December 5, 2020",http://www.theartnewspaper.com/visitor-figures
55,"""West Asia: Between Tradition and Modernity""",New York: Heilbrunn Timeline of Art History; The Metropolitan Museum of Art,"December 8, 2011",http://www.metmuseum.org/toah/hd/trmd/hd_trmd.htm
56,"""NYC's Met Pulls Sackler Name From Galleries After Opioid Scandal""",Bloomberg,"December 9, 2021",https://www.bloomberg.com/news/articles/2021-12-09/new-york-s-met-museum-removes-sackler-name-from-galleries?srnd=premium&sref=CIpmV6x8
57,NaN,NaN,"February 1, 2020",https://www.youtube.com/watch?v=3WgClpYaeDY
58,"""The Robert Lehman Collection""", (Press release),"February 12, 2006",https://web.archive.org/web/20060212213810/http://www.metmuseum.org/Press_Room/full_release.asp?prid=6E3EF378-71B3-4FD1-B7ED-BC5F36E57CD0
59,"""Rare photo sets $2.9m sales record""",BBC News,"February 15, 2006",http://news.bbc.co.uk/1/hi/world/americas/4715106.stm
60,NaN,NaN,"February 15, 2017",https://books.google.com/books?id=jlcPcCuicKQC&q=Morgantina%20Met%20OR%20Metropolitan
61,"""Met Museum to Return Prize Artifact Because It Was Stolen""",The New York Times,"February 15, 2019",https://www.nytimes.com/2019/02/15/arts/design/met-museum-stolen-coffin.html
62,"""Art Review: Feast of Illuminations and Drawings""",The New York Times,"February 18, 2000",https://www.nytimes.com/2000/02/18/arts/art-review-feast-of-illuminations-and-drawings.html
63,"""The Metropolitan Museum of Art: An Architectural History""", (PDF),"February 2, 2017",http://www.metmuseum.org/pubs/bulletins/1/pdf/3259465.pdf.bannered.pdf
64,"""This Weekend in Met History: February 20""",Museum Archives,"February 23, 2014",http://www.metmuseum.org/about%20the%20museum/now%20at%20the%20met/features/2012/this%20weekend%20in%20met%20history%20february%2020
65,"""Times Topics: Metropolitan Museum's Director Resigns Under Pressure""",New York Times,"February 28, 2017",https://www.nytimes.com/2017/02/28/arts/design/met-museum-director-resigns-thomas-campbell.html
66,"""The Met Makes 375,000 Public Domain Images Available""",Fortune,"February 7, 2017",http://fortune.com/2017/02/07/met-museum-public-domain-images/
67,"""Met Museum to Renovate Its Ancient Near East and Cypriot Galleries""",The New York Times,"February 9, 2022",https://www.nytimes.com/2022/02/09/arts/design/met-galleries-renovations.html
68,NaN,NaN,"January 1, 2016",https://books.google.com/books?id=Z16LK1yEhBUC&pg=RA1-PA101
69,"""'Jihad' jitters at Met""",New York Post,"January 10, 2010",http://www.nypost.com/p/news/local/manhattan/jihad_jitters_at_met_76yj3VNUy4hcRAnhOcPCHP
70,NaN,NaN,"January 11, 2022",https://archive.org/details/robertlehmancoll0000metr_i9v6
71,"""Sabine Houdon""",www.metmuseum.org,"January 11, 2023",https://www.metmuseum.org/art/collection/search/200668
72,"""What is the Metropolitan Museum of Art?""",study,"January 11, 2023",https://study.com/academy/lesson/what-is-the-metropolitan-museum-of-art-history-artwork.html
73,"""Meet the Staff""",www.metmuseum.org,"January 11, 2023",https://www.metmuseum.org/about-the-met/collection-areas/drawings-and-prints/staff
74,"""Christmas Tree and Neapolitan Baroque Crèche""",www.metmuseum.org,"January 11, 2023",https://www.metmuseum.org/exhibitions/listings/2022/christmas-tree
75,"""The Metropolitan Museum of Art Announces Major Gift from Qatar Museums""",www.metmuseum.org,"January 12, 2023",https://www.metmuseum.org/press/news/2022/gift-from-qatar
76,"""Extreme Beauty: The Body Transformed""",www.metmuseum.org,"January 12, 2023",https://www.metmuseum.org/art/metpublications/extreme_beauty_the_body_transformed
77,"""History of the Department""",www.metmuseum.org,"January 12, 2023",https://www.metmuseum.org/about-the-met/collection-areas/drawings-and-prints/history-of-the-department
78,"""Mary Elizabeth Adams Brown's Collection Celebrates 125 Years at the Met""",www.metmuseum.org,"January 12, 2023",https://www.metmuseum.org/blogs/of-note/2014/mary-elizabeth-brown-collection
79,"""The Alfred Stieglitz Collection | About""",Art Institute of Chicago,"January 12, 2023",https://archive.artic.edu/stieglitz/about/
80,"""The Metropolitan Museum of Art at HumanitiesWeb""",Humanitiesweb,"January 13, 2012",http://www.humanitiesweb.org/human.php?s=g&p=a&a=i&ID=1138
81,"""Met Names Costume Institute Complex in Honor of Anna Wintour""",Women's Wear Daily,"January 14, 2014",http://www.wwd.com/fashion-news/fashion-features/met-names-costume-institute-complex-in-honor-of-anna-wintour-7360586?src=nl/mornReport/20140115
82,"""Today in Met History: April 13""",The Metropolitan Museum of Art,"January 17, 2015",http://www.metmuseum.org/about-the-museum/now-at-the-met/features/2010/today-in-met-history-april-13
83,"""The Met and the Now""",The New Yorker,"January 18, 2016",http://www.newyorker.com/magazine/2016/01/25/the-met-and-the-now
84,"""Moody's assigns Aaa to Metropolitan Museum of Art's (NY) $250M Series 2015 bonds; outlook stable""",Moody's,"January 20, 2015",https://web.archive.org/web/20171019004655/https://www.moodys.com/research/Moodys-assigns-Aaa-to-Metropolitan-Museum-of-Arts-NY-250M--PR_316776
85,"""The Permanent Collection May Not Be So Permanent""",The New York Times,"January 26, 2011",https://www.nytimes.com/2011/01/27/arts/design/27sell.html
86,"""Met Changes 50-Year Admissions Policy: Non-New Yorkers Must Pay""",New York Times,"January 4, 2018",https://www.nytimes.com/2018/01/04/arts/design/met-museum-admissions.html
87,"""The Met Should Be Open to All. The New Pay Policy Is a Mistake""",The New York Times,"January 4, 2018",https://www.nytimes.com/2018/01/04/arts/design/the-met-should-be-open-to-all-the-new-pay-policy-is-a-mistake.html?_r=0
88,"""'Museums should be accessible': the backlash to the Met's new pricing policy""",the Guardian,"January 8, 2018",https://www.theguardian.com/artanddesign/2018/jan/08/met-museum-new-pricing-policy-backlash
89,"""Meet the Staff | The Metropolitan Museum of Art""",www.metmuseum.org,"July 10, 2022",https://www.metmuseum.org/about-the-met/collection-areas/asian-art/meet-the-staff
90,"""Met Museum""",Met Museum,"July 10, 2022",https://www.metmuseum.org/about-the-met/collection-areas/european-paintings/meet-the-staff
91,NaN,NaN,"July 12, 2017",https://news.artnet.com/art-world/art-industry-news-july-12-1020134
92,"""Metropolitan Museum of Art to Reopen Five Days a Week in August""",The New York Times,"July 15, 2020",https://www.nytimes.com/2020/07/15/arts/design/met-museum-reopening-plans.html
93,"""Medieval Art and The Cloisters""",The Met,"July 16, 2008",https://www.metmuseum.org/press/general-information/2010/medieval-art-and-the-cloisters
94,"""Qatar Uses Its Riches to Buy Art Treasures""",The New York Times,"July 22, 2013",https://web.archive.org/web/20170213115617/http://www.nytimes.com/2013/07/23/arts/design/qatar-uses-its-riches-to-buy-art-treasures.html
95,"""Photos From 'American Woman:Fashioning A National Identity' At The Met""",HuffPost,"July 28, 2010",https://www.huffpost.com/entry/photos-from-american-woma_n_632781
96,"""At the Met, McQueen's Final Showstopper""",The New York Times,"July 29, 2011",https://www.nytimes.com/2011/07/31/fashion/mets-mcqueen-retrospective-is-expected-to-break-records.html
97,"""Assyria, 1365–609 B.C. | Thematic Essay | Heilbrunn Timeline of Art History | The Metropolitan Museum of Art""",Metmuseum,"July 4, 2012",http://www.metmuseum.org/toah/hd/assy/hd_assy.htm
98,"""The Metropolitan Museum of Art – Greek and Roman Art""",Metmuseum,"July 4, 2012",http://www.metmuseum.org/en/about-the-museum/museum-departments/curatorial-departments/greek-and-roman-art
99,"""Digital Underground""", link,"July 6, 2017",http://www.metmuseum.org/blogs/digital-underground
100,"""Patricia Marroquin Norby Is Bringing a Native Perspective to the Met""",The New York Times,"July 9, 2021",https://www.nytimes.com/2021/07/09/arts/design/patricia-norby-met-museum.html
101,"""Dr. Sylvia L. Yount Named to Post at The Met""",June ,"June 11, 2014",https://www.vmfa.museum/pressroom/news/dr-sylvia-l-yount-named-post-metropolitan-museum-art/
102,"""Met Museum Changes Leadership Structure""",NY Times,"June 13, 2017",https://www.nytimes.com/2017/06/13/arts/design/met-museum-changes-leadership-structure.html
103,"""The Metropolitan Museum of Art – The Costume Institute""",Metmuseum,"June 21, 2012",http://www.metmuseum.org/about-the-museum/museum-departments/curatorial-departments/the-costume-institute
